Model,Evaluation_Split,Accuracy,Precision_macro,Recall_macro,F1_macro,Train_seconds
Gradient Boosting (XGBoost),validation,0.9997269708739575,0.9164416278835646,0.9897998570638329,0.9366592369526422,171.2849085330963
Random Forest,validation,0.9994979787037281,0.8669849229296119,0.9796565895412184,0.8999426817857047,56.15927457809448
Logistic Regression,validation,0.9341471362767635,0.682285849878531,0.9413110113357928,0.699078363935141,231.11308073997498
